study_trials.thisRepN,study_trials.thisTrialN,study_trials.thisN,study_trials.thisIndex,text_14.started,text_14.stopped,study_instructions.started,study_instructions.stopped,study_instr_resp.keys,study_instr_resp.rt,study_instr_resp.started,study_instr_resp.stopped,StudyTrial,StudyImage,Condition,study_outdoor_selected.started,study_outdoor_selected.stopped,study_outdoor.started,study_outdoor.stopped,study_indoor_selected.started,study_indoor_selected.stopped,study_indoor.started,study_indoor.stopped,study_image_shown.started,study_image_shown.stopped,study_resp.keys,study_resp.started,study_resp.stopped,participant,First name,Last name,date,expName,psychopyVersion,frameRate,
39,0,39,0,171.60336630900565,None,,,,,,,40,all_images/1_143a.jpg,HSim,168.5932718420081,None,168.5932718420081,None,168.5932718420081,None,168.5932718420081,None,168.5932718420081,None,None,168.5932718420081,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
40,0,40,0,175.62300307300757,None,,,,,,,41,all_images/3_079a.jpg,HSim,172.61334291400271,None,172.61334291400271,None,172.61334291400271,None,172.61334291400271,None,172.61334291400271,None,None,172.61334291400271,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
41,0,41,0,179.64576215000125,None,,,,,,,42,all_images/F_093a.jpg,LSim,176.63397921199794,None,176.63397921199794,None,176.63397921199794,None,176.63397921199794,None,176.63397921199794,None,None,176.63397921199794,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
42,0,42,0,183.6675045669981,None,,,,,,,43,all_images/1_160a.jpg,HSim,180.6571359219961,None,180.6571359219961,None,180.6571359219961,None,180.6571359219961,None,180.6571359219961,None,None,180.6571359219961,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
43,0,43,0,187.6913637510006,None,,,,,,,44,all_images/2_125a.jpg,LSim,184.6804043890006,None,184.6804043890006,None,184.6804043890006,None,184.6804043890006,None,184.6804043890006,None,None,184.6804043890006,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
44,0,44,0,191.71717987999727,None,,,,,,,45,all_images/4_192a.jpg,LSim,188.7041954610031,None,188.7041954610031,None,188.7041954610031,None,188.7041954610031,None,188.7041954610031,None,None,188.7041954610031,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
45,0,45,0,195.74462794000283,None,,,,,,,46,all_images/3_082a.jpg,LSim,192.73291083599906,None,192.73291083599906,None,192.73291083599906,None,192.73291083599906,None,192.73291083599906,None,None,192.73291083599906,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
46,0,46,0,199.76621491900005,None,,,,,,,47,all_images/5_075a.jpg,HSim,196.75693360999867,None,196.75693360999867,None,196.75693360999867,None,196.75693360999867,None,196.75693360999867,None,None,196.75693360999867,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
47,0,47,0,203.78853494000214,None,,,,,,,48,all_images/4_103a.jpg,HSim,200.77811149900663,None,200.77811149900663,None,200.77811149900663,None,200.77811149900663,None,200.77811149900663,None,None,200.77811149900663,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
48,0,48,0,207.81047365399718,None,,,,,,,49,all_images/6_037a.jpg,HSim,204.80010825299541,None,204.80010825299541,None,204.80010825299541,None,204.80010825299541,None,204.80010825299541,None,None,204.80010825299541,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
49,0,49,0,211.83414906900725,None,,,,,,,50,all_images/3_118a.jpg,LSim,208.82177607400808,None,208.82177607400808,None,208.82177607400808,None,208.82177607400808,None,208.82177607400808,None,None,208.82177607400808,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
,,,,,,,,,,,,51,all_images/3_155a.jpg,LSim,,,,,,,,,,,,,,,,,,,,,
