study_trials.thisRepN,study_trials.thisTrialN,study_trials.thisN,study_trials.thisIndex,text_14.started,text_14.stopped,study_instructions.started,study_instructions.stopped,study_instr_resp.keys,study_instr_resp.rt,study_instr_resp.started,study_instr_resp.stopped,StudyTrial,StudyImage,Condition,study_outdoor_selected.started,study_outdoor_selected.stopped,study_outdoor.started,study_outdoor.stopped,study_indoor_selected.started,study_indoor_selected.stopped,study_indoor.started,study_indoor.stopped,study_image_shown.started,study_image_shown.stopped,study_resp.keys,study_resp.rt,study_resp.started,study_resp.stopped,text_4.started,text_4.stopped,end_resp.keys,end_resp.started,end_resp.stopped,participant,First name,Last name,date,expName,psychopyVersion,frameRate,
48,0,48,0,207.58193314301025,None,,,,,,,49,all_images/6_130a.jpg,LSim,204.57253928401042,None,204.57253928401042,None,204.57253928401042,None,204.57253928401042,None,204.57253928401042,None,None,,204.57253928401042,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
49,0,49,0,211.6054276900104,None,,,,,,,50,all_images/3_084a.jpg,LSim,208.59532123200188,None,208.59532123200188,None,208.59532123200188,None,208.59532123200188,None,208.59532123200188,None,None,,208.59532123200188,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
50,0,50,0,215.62297776600462,None,,,,,,,51,all_images/6_129a.jpg,LSim,212.6130872240028,None,212.6130872240028,None,212.6130872240028,None,212.6130872240028,None,212.6130872240028,None,None,,212.6130872240028,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
51,0,51,0,219.64543716600747,None,,,,,,,52,all_images/F_093a.jpg,LSim,216.63609698601067,None,216.63609698601067,None,216.63609698601067,None,216.63609698601067,None,216.63609698601067,None,None,,216.63609698601067,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
52,0,52,0,223.6668046220002,None,,,,,,,53,all_images/1_120a.jpg,HSim,220.65815708300215,None,220.65815708300215,None,220.65815708300215,None,220.65815708300215,None,220.65815708300215,None,None,,220.65815708300215,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
53,0,53,0,227.68774317399948,None,,,,,,,54,all_images/1_042a.jpg,LSim,224.67735098100093,None,224.67735098100093,None,224.67735098100093,None,224.67735098100093,None,224.67735098100093,None,None,,224.67735098100093,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
54,0,54,0,231.7120861250005,None,,,,,,,55,all_images/3_184a.jpg,HSim,228.70216168501065,None,228.70216168501065,None,228.70216168501065,None,228.70216168501065,None,228.70216168501065,None,None,,228.70216168501065,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
55,0,55,0,235.7314871270064,None,,,,,,,56,all_images/3_147a.jpg,LSim,232.7229378320044,None,232.7229378320044,None,232.7229378320044,None,232.7229378320044,None,232.7229378320044,None,None,,232.7229378320044,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
56,0,56,0,239.75819664500887,None,,,,,,,57,all_images/2_064a.jpg,LSim,236.7467744260066,None,236.7467744260066,None,236.7467744260066,None,236.7467744260066,None,236.7467744260066,None,None,,236.7467744260066,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
57,0,57,0,243.78284554299898,None,,,,,,,58,all_images/3_126a.jpg,LSim,240.7692365969997,None,240.7692365969997,None,240.7692365969997,None,240.7692365969997,None,240.7692365969997,None,None,,240.7692365969997,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
